dish,calories,fat,carb,carbs,protein,serving,source
pineapple,50.0,0.1,13.0,13.0,0.5,100.0,converted from uploaded ingredient CSV (per 100g median)
pineapples,50.0,0.1,13.0,13.0,0.5,100.0,alias of: pineapple
pizza,266.0,10.0,33.0,33.0,11.0,100.0,manual classifier-label match (approx per 100g)
pizzas,266.0,9.7,33.0,33.0,11.0,100.0,alias of: pizza
plate,0.0,0.0,0.0,0.0,0.0,100.0,manual classifier-label match (approx per 100g)
plate only,0.0,0.0,0.0,0.0,0.0,100.0,converted from uploaded ingredient CSV (per 100g median)
plate onlys,0.0,0.0,0.0,0.0,0.0,100.0,alias of: plate only
pork,238.0,14.0,0.0,0.0,26.0,100.0,converted from uploaded ingredient CSV (per 100g median)
porks,238.0,14.0,0.0,0.0,26.0,100.0,alias of: pork
pot pie,400.0,22.0,35.0,35.0,12.0,100.0,manual classifier-label match (approx per 100g)
potato,77.0,0.1,17.0,17.0,2.0,100.0,manual classifier-label match (approx per 100g)
potato chip,536.0,35.0,53.0,53.0,7.0,100.0,alias of: potato chips
potato chips,536.0,35.0,53.0,53.0,7.0,100.0,converted from uploaded ingredient CSV (per 100g median)
potatoes,77.0,0.1,17.0,17.0,2.0,100.0,converted from uploaded ingredient CSV (per 100g median)
potpie,400.0,22.0,35.0,35.0,12.0,100.0,manual classifier-label match (approx per 100g)
pumpkin seed,446.0,19.0,54.0,54.0,19.0,100.0,alias of: pumpkin seeds
pumpkin seeds,446.0,19.0,54.0,54.0,19.0,100.0,converted from uploaded ingredient CSV (per 100g median)
quinoa,120.0,1.9,21.0,21.0,4.4,100.0,converted from uploaded ingredient CSV (per 100g median)
quinoas,120.0,1.9,21.0,21.0,4.4,100.0,alias of: quinoa
radish,16.0,0.1,3.4,3.4,0.7,100.0,alias of: radishes
radishes,16.0,0.1,3.4,3.4,0.7,100.0,converted from uploaded ingredient CSV (per 100g median)
raisin,299.0,0.5,79.0,79.0,3.1,100.0,alias of: raisins
raisins,299.0,0.5,79.0,79.0,3.1,100.0,converted from uploaded ingredient CSV (per 100g median)
ramen,436.0,18.0,60.0,60.0,10.0,100.0,manual classifier-label match (approx per 100g)
raspberries,53.0,0.7,12.0,12.0,1.2,100.0,converted from uploaded ingredient CSV (per 100g median)
raspberry,53.0,0.7,12.0,12.0,1.2,100.0,alias of: raspberries
rice,130.0,0.3,28.0,28.0,2.7,100.0,manual classifier-label match (approx per 100g)
rice noodl,109.0,0.2,25.0,25.0,0.9,100.0,alias of: rice noodles
rice noodles,109.0,0.2,25.0,25.0,0.9,100.0,converted from uploaded ingredient CSV (per 100g median)
roast chicken,223.7,13.0,0.0,0.0,23.5,100.0,converted from uploaded ingredient CSV (per 100g median)
roast chickens,223.7,13.0,0.0,0.0,23.5,100.0,alias of: roast chicken
roasted potato,141.0,6.8,18.0,18.0,2.1,100.0,alias of: roasted potatoes
roasted potatoes,141.0,6.8,18.0,18.0,2.1,100.0,converted from uploaded ingredient CSV (per 100g median)
rosemary,131.0,5.7,20.0,20.0,2.9,100.0,converted from uploaded ingredient CSV (per 100g median)
rosemarys,131.0,5.7,20.0,20.0,2.9,100.0,alias of: rosemary
salad,33.0,0.3,7.0,7.0,2.0,100.0,manual classifier-label match (approx per 100g)
salmon,208.0,13.0,0.0,0.0,20.0,100.0,manual classifier-label match (approx per 100g)
salmons,178.0,8.0,0.0,0.0,24.0,100.0,alias of: salmon
salsa,29.0,0.2,6.6,6.6,1.5,100.0,converted from uploaded ingredient CSV (per 100g median)
salsas,29.0,0.2,6.6,6.6,1.5,100.0,alias of: salsa
salt,0.0,0.0,0.0,0.0,0.0,100.0,converted from uploaded ingredient CSV (per 100g median)
salts,0.0,0.0,0.0,0.0,0.0,100.0,alias of: salt
sandwich,250.0,9.0,30.0,30.0,12.0,100.0,manual classifier-label match (approx per 100g)
sandwiches,232.9,13.0,17.9,17.9,11.0,100.0,converted from uploaded ingredient CSV (per 100g median)
sausage,344.6,27.3,4.2,4.2,19.3,100.0,converted from uploaded ingredient CSV (per 100g median)
sausages,344.6,27.3,4.2,4.2,19.3,100.0,alias of: sausage
scrambled egg,148.0,11.0,1.6,1.6,10.0,100.0,alias of: scrambled eggs
scrambled eggs,148.0,11.0,1.6,1.6,10.0,100.0,converted from uploaded ingredient CSV (per 100g median)
shallot,20.0,0.2,3.3,3.3,1.5,100.0,alias of: shallots
shallots,20.0,0.2,3.3,3.3,1.5,100.0,converted from uploaded ingredient CSV (per 100g median)
shrimp,99.0,0.3,0.2,0.2,24.0,100.0,converted from uploaded ingredient CSV (per 100g median)
shrimps,99.0,0.3,0.2,0.2,24.0,100.0,alias of: shrimp
snow pea,81.0,0.4,14.0,14.0,5.0,100.0,alias of: snow peas
snow peas,81.0,0.4,14.0,14.0,5.0,100.0,converted from uploaded ingredient CSV (per 100g median)
soup,50.0,1.5,7.0,7.0,3.0,100.0,manual classifier-label match (approx per 100g)
sour cream,198.0,19.0,4.6,4.6,2.4,100.0,converted from uploaded ingredient CSV (per 100g median)
sour creams,198.0,19.0,4.6,4.6,2.4,100.0,alias of: sour cream
soy sauce,53.0,0.6,4.9,4.9,8.1,100.0,converted from uploaded ingredient CSV (per 100g median)
soy sauces,53.0,0.6,4.9,4.9,8.1,100.0,alias of: soy sauce
spaghetti carbonara,370.0,18.0,45.0,45.0,13.0,100.0,manual classifier-label match (approx per 100g)
spinach,23.0,0.4,3.6,3.6,2.9,100.0,cleaned alias of: spinach (raw)
spinach (cooked),23.0,0.0,4.0,4.0,3.0,100.0,converted from uploaded ingredient CSV (per 100g median)
spinach (cooked)s,23.0,0.0,4.0,4.0,3.0,100.0,alias of: spinach (cooked)
spinach (raw),23.0,0.4,3.6,3.6,2.9,100.0,converted from uploaded ingredient CSV (per 100g median)
spinach (raw)s,23.0,0.4,3.6,3.6,2.9,100.0,alias of: spinach (raw)
squash,20.5,0.3,3.4,3.4,0.9,100.0,converted from uploaded ingredient CSV (per 100g median)
squashs,20.5,0.3,3.4,3.4,0.9,100.0,alias of: squash
steak,271.0,19.0,0.0,0.0,25.0,100.0,manual classifier-label match (approx per 100g)
steaks,271.0,19.0,0.0,0.0,25.0,100.0,alias of: steak
strawberries,33.0,0.3,8.0,8.0,0.7,100.0,converted from uploaded ingredient CSV (per 100g median)
strawberry,32.0,0.3,7.7,7.7,0.7,100.0,manual classifier-label match (approx per 100g)
succotash,99.0,1.0,20.0,20.0,5.0,100.0,converted from uploaded ingredient CSV (per 100g median)
succotashs,99.0,1.0,20.0,20.0,5.0,100.0,alias of: succotash
sugar,388.0,0.0,100.0,100.0,0.0,100.0,converted from uploaded ingredient CSV (per 100g median)
sugars,388.0,0.0,100.0,100.0,0.0,100.0,alias of: sugar
sun dried tomato,258.0,3.0,56.0,56.0,14.0,100.0,alias of: sun dried tomatoes
sun dried tomatoes,258.0,3.0,56.0,56.0,14.0,100.0,converted from uploaded ingredient CSV (per 100g median)
sunflower seed,546.0,50.0,15.0,15.0,19.0,100.0,alias of: sunflower seeds
sunflower seeds,546.0,50.0,15.0,15.0,19.0,100.0,converted from uploaded ingredient CSV (per 100g median)
sushi,145.0,2.0,28.0,28.0,5.0,100.0,manual classifier-label match (approx per 100g)
sweet potato,76.0,0.0,18.0,18.0,1.0,100.0,converted from uploaded ingredient CSV (per 100g median)
sweet potatos,76.0,0.0,18.0,18.0,1.0,100.0,alias of: sweet potato
syrup,260.0,0.1,67.0,67.0,0.0,100.0,converted from uploaded ingredient CSV (per 100g median)
syrups,260.0,0.1,67.0,67.0,0.0,100.0,alias of: syrup
taco,226.0,10.0,20.0,20.0,9.0,100.0,manual classifier-label match (approx per 100g)
tatsoi,22.0,0.3,3.9,3.9,2.2,100.0,converted from uploaded ingredient CSV (per 100g median)
tatsois,22.0,0.3,3.9,3.9,2.2,100.0,alias of: tatsoi
tempeh,192.9,10.9,9.3,9.3,18.8,100.0,converted from uploaded ingredient CSV (per 100g median)
tempehs,192.9,10.9,9.3,9.3,18.8,100.0,alias of: tempeh
thyme,101.0,1.7,24.0,24.0,6.0,100.0,converted from uploaded ingredient CSV (per 100g median)
thymes,101.0,1.7,24.0,24.0,6.0,100.0,alias of: thyme
toast,313.0,4.0,55.0,55.0,10.0,100.0,manual classifier-label match (approx per 100g)
toasts,313.1,4.2,55.5,55.5,13.0,100.0,alias of: toast
tofu,73.0,4.8,1.9,1.9,8.0,100.0,converted from uploaded ingredient CSV (per 100g median)
tofus,73.0,4.8,1.9,1.9,8.0,100.0,alias of: tofu
tomatillo,32.0,1.0,6.0,6.0,1.0,100.0,converted from uploaded ingredient CSV (per 100g median)
tomatillos,32.0,1.0,6.0,6.0,1.0,100.0,alias of: tomatillo
tomato,34.0,0.7,6.8,6.8,0.7,100.0,alias of: tomatoes
tomatoes,34.0,0.7,6.8,6.8,0.7,100.0,converted from uploaded ingredient CSV (per 100g median)
tortilla,218.0,2.9,45.0,45.0,6.0,100.0,converted from uploaded ingredient CSV (per 100g median)
tortilla chip,464.2,15.3,73.7,73.7,8.6,100.0,alias of: tortilla chips
tortilla chips,464.2,15.3,73.7,73.7,8.6,100.0,converted from uploaded ingredient CSV (per 100g median)
tortillas,218.0,2.9,45.0,45.0,6.0,100.0,alias of: tortilla
tray,0.0,0.0,0.0,0.0,0.0,100.0,manual classifier-label match (approx per 100g)
tuna,130.0,0.6,0.0,0.0,29.0,100.0,converted from uploaded ingredient CSV (per 100g median)
tuna salad,187.0,9.2,9.2,9.2,16.2,100.0,converted from uploaded ingredient CSV (per 100g median)
tuna salads,187.0,9.2,9.2,9.2,16.2,100.0,alias of: tuna salad
tunas,130.0,0.6,0.0,0.0,29.0,100.0,alias of: tuna
turkey bacon,379.7,28.1,3.1,3.1,29.1,100.0,converted from uploaded ingredient CSV (per 100g median)
turkey bacons,379.7,28.1,3.1,3.1,29.1,100.0,alias of: turkey bacon
turnip,21.7,0.1,5.1,5.1,0.7,100.0,alias of: turnips
turnips,21.7,0.1,5.1,5.1,0.7,100.0,converted from uploaded ingredient CSV (per 100g median)
vegetable oil,886.4,100.0,0.0,0.0,0.0,100.0,converted from uploaded ingredient CSV (per 100g median)
vegetable oils,886.4,100.0,0.0,0.0,0.0,100.0,alias of: vegetable oil
vinaigrette,465.5,51.8,2.6,2.6,0.0,100.0,converted from uploaded ingredient CSV (per 100g median)
vinaigrettes,465.5,51.8,2.6,2.6,0.0,100.0,alias of: vinaigrette
vinegar,0.0,0.0,0.0,0.0,0.0,100.0,converted from uploaded ingredient CSV (per 100g median)
vinegars,0.0,0.0,0.0,0.0,0.0,100.0,alias of: vinegar
waffl,290.3,14.3,32.7,32.7,7.9,100.0,alias of: waffles
waffle,291.0,14.0,33.0,33.0,8.0,100.0,manual classifier-label match (approx per 100g)
waffles,290.3,14.3,32.7,32.7,7.9,100.0,converted from uploaded ingredient CSV (per 100g median)
walnut,653.3,64.2,13.9,13.9,15.1,100.0,alias of: walnuts
walnuts,653.3,64.2,13.9,13.9,15.1,100.0,converted from uploaded ingredient CSV (per 100g median)
watermelon,30.0,0.2,7.6,7.6,0.6,100.0,converted from uploaded ingredient CSV (per 100g median)
watermelons,30.0,0.2,7.6,7.6,0.6,100.0,alias of: watermelon
wheat berry,91.0,0.5,19.1,19.1,4.2,100.0,converted from uploaded ingredient CSV (per 100g median)
wheat berrys,91.0,0.5,19.1,19.1,4.2,100.0,alias of: wheat berry
wheat bread,246.8,3.3,42.1,42.1,13.0,100.0,converted from uploaded ingredient CSV (per 100g median)
wheat breads,246.8,3.3,42.1,42.1,13.0,100.0,alias of: wheat bread
white bean,139.0,0.4,25.1,25.1,9.7,100.0,alias of: white beans
white beans,139.0,0.4,25.1,25.1,9.7,100.0,converted from uploaded ingredient CSV (per 100g median)
white rice,130.0,0.3,28.0,28.0,2.7,100.0,manual classifier-label match (approx per 100g)
white rices,130.0,0.3,28.0,28.0,2.7,100.0,alias of: white rice
white wine,82.0,0.0,2.6,2.6,0.1,100.0,converted from uploaded ingredient CSV (per 100g median)
white wines,82.0,0.0,2.6,2.6,0.1,100.0,alias of: white wine
wild rice,119.0,0.4,25.0,25.0,5.0,100.0,converted from uploaded ingredient CSV (per 100g median)
wild rices,119.0,0.4,25.0,25.0,5.0,100.0,alias of: wild rice
wine,85.0,0.0,2.6,2.6,0.1,100.0,converted from uploaded ingredient CSV (per 100g median)
wines,85.0,0.0,2.6,2.6,0.1,100.0,alias of: wine
wooden spoon,0.0,0.0,0.0,0.0,0.0,100.0,manual classifier-label match (approx per 100g)
yam,124.1,0.2,29.4,29.4,1.6,100.0,converted from uploaded ingredient CSV (per 100g median)
yams,124.1,0.2,29.4,29.4,1.6,100.0,alias of: yam
yogurt,58.9,0.4,3.6,3.6,10.0,100.0,converted from uploaded ingredient CSV (per 100g median)
yogurts,58.9,0.4,3.6,3.6,10.0,100.0,alias of: yogurt
zucchini,15.0,0.4,2.7,2.7,1.1,100.0,converted from uploaded ingredient CSV (per 100g median)
zucchinis,15.0,0.4,2.7,2.7,1.1,100.0,alias of: zucchini
